BSSID,		SSID,		Channel,	RadioType,	Encryption,	Location
22:cf:30:74:34:d3,	        ,	12,	OFDM24,		None,	5320.6220N,  00615.9224W
20:cf:30:74:34:d0,	        ,	12,	OFDM24,		None,	5320.6220N,  00615.9224W
22:cf:30:74:34:d1,	        ,	12,	OFDM24,		YES,	5320.6220N,  00615.9224W
22:cf:30:74:34:d2,	        ,	12,	OFDM24,		None,	5320.6220N,  00615.9224W
02:23:54:ab:a8:9a,	        ,	11,	OFDM24,		YES,	5320.6731N,  00615.9428W
c8:3a:35:1c:b0:00,	        ,	11,	OFDM24,		YES,	5320.6362N,  00615.9262W
00:0c:42:6c:37:9e,	        ,	5,	Unknow,		None,	5320.6480N,  00615.8517W
02:0c:42:6c:3a:2b,	        ,	5,	Unknow,		YES,	5320.6480N,  00615.8517W
b0:b2:dc:77:b2:e4,	        ,	11,	Unknow,		YES,	5320.6525N,  00615.9376W
d6:ca:6d:12:37:cc,	        ,	1,	OFDM24,		None,	5320.6437N,  00615.8806W
00:0f:cc:34:ff:5c,	        ,	4,	OFDM24,		None,	5320.5394N,  00615.7412W
00:17:c5:85:a4:e7,	        ,	2,	Unknow,		YES,	5320.6437N,  00615.8806W
e2:69:95:74:49:b0,	        ,	11,	OFDM24,		None,	5320.6547N,  00615.9308W
e0:69:95:74:49:b1,	        ,	11,	OFDM24,		YES,	5320.6547N,  00615.9308W
00:24:a1:73:ea:d4,	        ,	6,	OFDM24,		YES,	5320.6547N,  00615.9308W
00:0f:cc:49:87:ec,	        ,	7,	OFDM24,		YES,	5320.6598N,  00615.9019W
c8:6c:87:f8:2b:46,	        ,	1,	OFDM24,		YES,	5320.6848N,  00615.8357W
c8:3a:35:1c:b0:01,	        ,	11,	Unknow,		YES,	5320.6362N,  00615.9262W
00:11:20:8d:d9:50,	        ,	11,	OFDM24,		YES,	5320.6362N,  00615.9262W
00:1c:df:41:25:95,	        ,	2,	OFDM24,		YES,	5320.6362N,  00615.9262W
00:25:f2:64:2f:9a,	        ,	6,	OFDM24,		YES,	5320.6362N,  00615.9262W
50:67:f0:e7:37:38,	        ,	8,	Unknow,		YES,	5320.6388N,  00615.9150W
40:4a:03:c1:c1:74,	        ,	1,	OFDM24,		YES,	5320.6480N,  00615.8517W
70:73:cb:b5:3e:2d,	        ,	11,	Unknow,		YES,	5320.6541N,  00615.9096W
1c:1d:67:b3:26:b9,	        ,	11,	OFDM24,		YES,	5320.6824N,  00615.7685W
00:24:92:16:2c:80,	        ,	1,	OFDM24,		YES,	5320.6388N,  00615.9150W
00:24:92:5d:60:80,	        ,	1,	OFDM24,		YES,	5320.6059N,  00615.7950W
c8:3a:35:55:4b:99,	        ,	1,	Unknow,		YES,	5320.6598N,  00615.9019W
50:67:f0:7f:45:42,	        ,	7,	OFDM24,		YES,	5320.6541N,  00615.9096W
80:1f:02:8d:22:ec,	        ,	6,	Unknow,		YES,	5320.6598N,  00615.9019W
40:4a:03:cd:3e:45,	        ,	7,	OFDM24,		YES,	5320.6480N,  00615.8517W
00:21:55:4f:10:d0,	        ,	11,	OFDM24,		None,	5320.6848N,  00615.8357W
c8:6c:87:96:b9:db,	        ,	11,	OFDM24,		YES,	5320.6480N,  00615.8517W
00:0f:cc:2e:52:0c,	        ,	7,	OFDM24,		YES,	5320.6598N,  00615.9019W
04:c0:6f:77:bc:17,	        ,	11,	Unknow,		YES,	5320.6427N,  00615.8477W
00:13:d4:e8:58:79,	        ,	1,	OFDM24,		YES,	5320.6294N,  00615.8167W
00:24:17:3a:66:2d,	        ,	1,	OFDM24,		YES,	5320.6426N,  00615.8658W
cc:5d:4e:dc:ae:58,	        ,	11,	Unknow,		YES,	5320.6580N,  00615.8870W
cc:5d:4e:93:07:84,	        ,	9,	Unknow,		YES,	5320.6424N,  00615.8745W
00:1d:68:69:f9:ff,	        ,	4,	OFDM24,		YES,	5320.6437N,  00615.8806W
00:23:f8:d5:52:d0,	        ,	2,	OFDM24,		YES,	5320.6617N,  00615.8584W
00:07:0e:38:b4:30,	        ,	6,	OFDM24,		YES,	5320.6525N,  00615.8427W
00:0b:0e:d9:97:c2,	        ,	11,	OFDM24,		YES,	5320.6900N,  00615.8382W
00:1f:1f:82:bc:44,	        ,	11,	Unknow,		YES,	5320.6580N,  00615.8870W
88:53:d4:62:b8:e9,	        ,	11,	Unknow,		YES,	5320.6424N,  00615.8745W
c8:6c:87:ee:9d:e8,	        ,	8,	Unknow,		YES,	5320.6294N,  00615.8167W
24:db:ac:fa:48:44,	        ,	1,	OFDM24,		YES,	5320.6480N,  00615.8517W
00:1f:1f:52:fc:c0,	        ,	11,	Unknow,		None,	5320.5966N,  00615.7347W
00:0b:0e:d9:9a:84,	        ,	10,	OFDM24,		None,	5320.6437N,  00615.8806W
00:17:c5:1d:cc:b5,	        ,	13,	OFDM24,		YES,	5320.2768N,  00615.6976W
00:0b:0e:d9:97:c4,	        ,	11,	OFDM24,		YES,	5320.6900N,  00615.8382W
e0:cb:4e:5a:2d:51,	        ,	1,	OFDM24,		YES,	5320.6411N,  00615.8212W
00:72:cf:52:fb:4b,	        ,	1,	OFDM24,		None,	5320.6525N,  00615.8427W
40:4a:03:d2:51:cd,	        ,	3,	OFDM24,		YES,	5320.6900N,  00615.8382W
e8:40:f2:7e:81:7e,	        ,	6,	Unknow,		YES,	5320.6480N,  00615.8517W
64:70:02:ca:fc:a8,	        ,	1,	OFDM24,		YES,	5320.6426N,  00615.8658W
